iter	Passed	Remaining
0	27	8324
1	46	6976
2	68	6756
3	90	6667
4	109	6481
5	131	6445
6	152	6383
7	171	6268
8	192	6238
9	238	6920
10	264	6941
11	290	6972
12	314	6938
13	338	6916
14	360	6840
15	385	6836
16	408	6804
17	431	6753
18	451	6673
19	472	6611
20	492	6540
21	511	6465
22	544	6553
23	562	6464
24	583	6417
25	601	6342
26	617	6247
27	632	6144
28	648	6060
29	672	6052
30	695	6031
31	718	6016
32	740	5989
33	763	5972
34	790	5986
35	816	5986
36	837	5956
37	866	5977
38	890	5959
39	915	5948
40	935	5908
41	957	5878
42	979	5853
43	1004	5844
44	1034	5862
45	1055	5828
46	1075	5791
47	1101	5784
48	1127	5775
49	1149	5746
50	1169	5709
51	1194	5698
52	1221	5690
53	1252	5707
54	1280	5702
55	1303	5680
56	1331	5674
57	1358	5668
58	1383	5652
59	1431	5725
60	1450	5682
61	1472	5652
62	1489	5604
63	1509	5566
64	1529	5531
65	1553	5506
66	1571	5466
67	1591	5430
68	1623	5434
69	1645	5405
70	1665	5371
71	1687	5343
72	1714	5332
73	1735	5299
74	1752	5256
75	1774	5229
76	1792	5189
77	1810	5152
78	1828	5115
79	1850	5088
80	1866	5046
81	1886	5016
82	1907	4987
83	1930	4963
84	1949	4931
85	1967	4896
86	1985	4860
87	2003	4826
88	2024	4799
89	2046	4776
90	2065	4743
91	2085	4715
92	2107	4690
93	2136	4681
94	2264	4885
95	2347	4988
96	2373	4967
97	2416	4980
98	2436	4947
99	2458	4917
100	2475	4877
101	2495	4845
102	2514	4809
103	2535	4777
104	2558	4750
105	2579	4721
106	2599	4687
107	2620	4658
108	2642	4631
109	2663	4599
110	2683	4568
111	2714	4556
112	2740	4535
113	2769	4518
114	2789	4487
115	2808	4455
116	2842	4445
117	2870	4426
118	2903	4415
119	2936	4404
120	2978	4406
121	3008	4389
122	3030	4360
123	3050	4330
124	3073	4302
125	3099	4280
126	3121	4251
127	3159	4245
128	3184	4220
129	3207	4193
130	3227	4163
131	3250	4136
132	3270	4106
133	3290	4076
134	3309	4044
135	3326	4011
136	3343	3977
137	3365	3951
138	3382	3917
139	3399	3885
140	3417	3853
141	3434	3821
142	3450	3788
143	3469	3758
144	3492	3733
145	3512	3704
146	3529	3673
147	3546	3642
148	3564	3612
149	3581	3581
150	3612	3565
151	3632	3536
152	3650	3507
153	3668	3478
154	3688	3450
155	3707	3422
156	3723	3391
157	3744	3365
158	3763	3337
159	3785	3311
160	3803	3283
161	3825	3258
162	3845	3231
163	3863	3203
164	3881	3176
165	3901	3149
166	3941	3139
167	3964	3114
168	3985	3089
169	4009	3065
170	4031	3041
171	4056	3018
172	4082	2996
173	4105	2972
174	4124	2946
175	4144	2920
176	4162	2892
177	4180	2865
178	4198	2838
179	4230	2820
180	4250	2794
181	4270	2768
182	4291	2743
183	4313	2719
184	4336	2695
185	4357	2670
186	4379	2646
187	4400	2621
188	4418	2595
189	4437	2569
190	4455	2542
191	4474	2516
192	4499	2494
193	4519	2469
194	4541	2445
195	4559	2419
196	4577	2393
197	4597	2368
198	4620	2345
199	4645	2322
200	4686	2308
201	4710	2285
202	4733	2261
203	4763	2241
204	4790	2219
205	4815	2197
206	4837	2173
207	4863	2151
208	4890	2129
209	4927	2111
210	4951	2088
211	4971	2063
212	4991	2038
213	5012	2014
214	5033	1989
215	5059	1967
216	5117	1957
217	5196	1954
218	5289	1956
219	5323	1935
220	5369	1919
221	5392	1894
222	5421	1872
223	5445	1847
224	5474	1824
225	5496	1799
226	5526	1777
227	5555	1754
228	5580	1730
229	5602	1704
230	5623	1679
231	5643	1654
232	5664	1628
233	5684	1603
234	5707	1578
235	5731	1554
236	5752	1529
237	5775	1504
238	5801	1480
239	5825	1456
240	5858	1434
241	5884	1410
242	5908	1385
243	5931	1361
244	5953	1336
245	5985	1313
246	6008	1289
247	6030	1264
248	6051	1239
249	6075	1215
250	6097	1190
251	6121	1166
252	6144	1141
253	6181	1119
254	6203	1094
255	6223	1069
256	6242	1044
257	6261	1019
258	6281	994
259	6300	969
260	6340	947
261	6366	923
262	6393	899
263	6419	875
264	6452	852
265	6482	828
266	6514	805
267	6539	780
268	6559	755
269	6579	731
270	6602	706
271	6620	681
272	6638	656
273	6660	632
274	6683	607
275	6706	583
276	6728	558
277	6748	534
278	6768	509
279	6790	485
280	6811	460
281	6833	436
282	6856	411
283	6888	388
284	6909	363
285	6933	339
286	6955	315
287	6979	290
288	6998	266
289	7019	242
290	7039	217
291	7058	193
292	7078	169
293	7098	144
294	7122	120
295	7147	96
296	7174	72
297	7214	48
298	7237	24
299	7260	0
