iter	RMSE
0	74743.62346
1	70754.63133
2	67081.43058
3	63628.5413
4	60391.88212
5	57464.28135
6	54991.57573
7	52813.9752
8	50626.59266
9	48389.28203
10	46421.24969
11	44974.08002
12	43331.23524
13	42138.47369
14	40798.7564
15	39723.83315
16	38682.33826
17	37559.45901
18	36594.64091
19	35576.44652
20	34707.87694
21	33872.73996
22	33069.26215
23	32362.91509
24	31607.01115
25	30885.38364
26	30287.97962
27	29793.45
28	29408.0356
29	28896.70461
30	28422.25485
31	28044.97694
32	27584.97572
33	27221.58147
34	26896.69549
35	26587.05111
36	26329.75579
37	26015.63672
38	25766.12905
39	25532.25416
40	25222.42619
41	24949.55378
42	24704.61073
43	24539.21236
44	24364.55234
45	24092.99793
46	23899.59435
47	23694.64514
48	23538.69556
49	23357.17219
50	23205.38383
51	22882.25414
52	22663.91865
53	22556.49626
54	22364.89317
55	22172.55794
56	21942.84287
57	21800.72282
58	21562.44267
59	21423.7051
60	21267.61981
61	21158.89888
62	21010.68121
63	20822.27737
64	20695.28198
65	20605.77201
66	20446.92573
67	20297.7263
68	20143.78769
69	19957.21751
70	19816.15133
71	19674.22091
72	19527.2671
73	19406.37281
74	19317.54898
75	19201.29437
76	19024.98767
77	18900.29258
78	18816.72453
79	18668.51267
80	18488.00286
81	18383.27972
82	18264.53057
83	18122.11599
84	18050.20282
85	17892.78624
86	17755.10985
87	17642.44277
88	17540.46622
89	17484.76454
90	17359.50405
91	17266.42139
92	17190.8357
93	17089.85838
94	16968.35342
95	16892.99378
96	16798.36917
97	16733.29289
98	16587.9222
99	16530.66007
100	16436.7459
101	16368.25737
102	16246.23199
103	16114.96311
104	15997.53452
105	15891.35461
106	15792.88686
107	15682.61833
108	15661.19258
109	15630.90118
110	15527.96878
111	15500.22337
112	15397.4694
113	15262.78203
114	15188.62284
115	15096.2635
116	15003.51525
117	14893.12334
118	14873.57461
119	14781.34702
120	14705.17916
121	14624.43565
122	14530.03451
123	14424.48646
124	14297.57127
125	14218.25134
126	14132.70424
127	14070.96997
128	13970.43985
129	13861.88882
130	13798.84784
131	13713.39208
132	13635.51563
133	13569.15569
134	13549.60467
135	13471.97469
136	13411.83929
137	13341.12441
138	13285.07796
139	13202.66274
140	13184.44038
141	13118.59801
142	13102.75931
143	13040.31168
144	12960.85314
145	12950.4369
146	12854.52835
147	12842.22036
148	12763.36095
149	12695.72567
150	12605.06803
151	12529.59083
152	12444.75451
153	12371.0583
154	12290.21032
155	12244.72604
156	12190.30045
157	12143.7892
158	12101.52433
159	12086.18106
160	12015.94905
161	11971.11019
162	11915.28325
163	11858.84675
164	11823.46394
165	11751.51026
166	11704.6503
167	11677.2527
168	11607.38709
169	11534.21145
170	11483.04617
171	11431.99781
172	11373.70121
173	11364.2641
174	11308.02574
175	11270.55453
176	11219.87327
177	11167.75669
178	11091.03795
179	11069.34809
180	10997.22893
181	10939.13806
182	10894.04544
183	10847.36771
184	10812.1247
185	10760.32491
186	10745.16536
187	10706.55952
188	10644.98441
189	10608.33643
190	10586.61445
191	10530.87573
192	10485.7521
193	10431.13418
194	10421.65668
195	10377.22681
196	10362.49329
197	10342.65883
198	10299.87811
199	10252.44967
200	10217.08453
201	10197.07111
202	10155.71176
203	10150.40208
204	10103.04575
205	10060.26126
206	10022.22416
207	10015.62045
208	9966.364183
209	9938.595574
210	9892.113262
211	9839.950151
212	9795.758912
213	9787.98565
214	9720.300685
215	9663.139385
216	9625.989345
217	9618.454256
218	9575.75198
219	9529.853272
220	9476.564905
221	9440.348289
222	9387.058322
223	9346.119804
224	9314.500784
225	9267.989285
226	9245.807275
227	9208.193491
228	9173.101487
229	9127.612487
230	9110.500522
231	9094.225557
232	9086.987034
233	9039.55318
234	9000.563718
235	8995.212955
236	8971.375995
237	8966.695418
238	8917.2206
239	8877.224557
240	8844.458163
241	8814.384994
242	8791.354662
243	8784.468862
244	8780.071274
245	8775.001256
246	8766.616417
247	8748.575716
248	8718.106938
249	8693.625822
250	8669.337878
251	8637.11813
252	8597.084663
253	8567.326322
254	8559.961479
255	8520.838512
256	8517.721942
257	8490.761113
258	8466.882758
259	8423.002177
260	8401.901164
261	8395.510442
262	8367.633703
263	8333.494623
264	8307.723407
265	8279.721523
266	8269.091848
267	8260.109527
268	8241.971604
269	8232.417775
270	8182.507354
271	8161.78243
272	8132.144561
273	8108.998536
274	8060.730033
275	8013.580224
276	7977.242509
277	7949.82164
278	7925.282783
279	7902.03516
280	7870.336273
281	7825.326801
282	7822.669298
283	7783.641961
284	7775.677366
285	7772.206438
286	7744.170934
287	7712.671732
288	7706.881481
289	7680.875143
290	7639.022846
291	7610.109711
292	7581.818593
293	7556.462062
294	7546.998004
295	7514.677697
296	7486.612043
297	7445.43396
298	7397.400686
299	7373.753857
